uf,ano,mes,indice_uv,temperatura_media_2m
AC,2000,1,NA,24.225161290322582
AC,2000,2,NA,24.24137931034483
AC,2000,3,NA,24.017741935483873
AC,2000,4,NA,24.25
AC,2000,5,NA,24.16548387096774
AC,2000,6,NA,23.857666666666667
AC,2000,7,NA,22.52774193548387
AC,2000,8,NA,25.936451612903227
AC,2000,9,NA,27.179
AC,2000,10,NA,25.633225806451613
AC,2000,11,NA,25.317666666666668
AC,2000,12,NA,25.186129032258066
AC,2001,1,2.0083870967741935,23.908387096774195
AC,2001,2,2.032142857142857,24.369285714285713
AC,2001,3,1.9916129032258065,24.31838709677419
AC,2001,4,1.95,24.575333333333333
AC,2001,5,1.6029032258064517,24.52193548387097
AC,2001,6,1.5183333333333333,22.281
AC,2001,7,1.6164516129032258,24.429032258064517
AC,2001,8,1.8212903225806452,27.30483870967742
AC,2001,9,1.8013333333333332,27.062666666666665
AC,2001,10,1.7890322580645162,26.756774193548388
AC,2001,11,1.8446666666666667,25.191
AC,2001,12,1.7590322580645161,24.72483870967742
AC,2002,1,2.14,24.798387096774192
AC,2002,2,1.8996428571428572,24.791785714285716
AC,2002,3,1.9393548387096773,24.748387096774195
AC,2002,4,1.812,24.577
AC,2002,5,1.6493548387096775,24.789354838709677
AC,2002,6,1.579,23.306333333333335
AC,2002,7,1.5493548387096774,23.704838709677418
AC,2002,8,1.600967741935484,25.066451612903226
AC,2002,9,1.8373333333333333,25.128666666666668
AC,2002,10,2.088064516129032,25.66258064516129
AC,2002,11,2.033,24.775666666666666
AC,2002,12,1.8393548387096774,25.00741935483871
AC,2003,1,2.0429032258064517,25.160967741935483
AC,2003,2,2.007857142857143,25.01607142857143
AC,2003,3,1.890967741935484,24.74290322580645
AC,2003,4,1.8343333333333334,24.660666666666668
AC,2003,5,1.6835483870967742,24.246774193548386
AC,2003,6,1.5433333333333334,24.339
AC,2003,7,1.6251612903225807,23.411290322580644
AC,2003,8,1.5741935483870968,24.734193548387097
AC,2003,9,1.679,26.980666666666668
AC,2003,10,2.0383870967741937,25.943548387096776
AC,2003,11,2.019,25.257
AC,2003,12,1.896774193548387,25.158709677419356
AC,2004,1,1.979032258064516,25.10225806451613
AC,2004,2,1.9479310344827585,24.62
AC,2004,3,1.8438709677419356,24.814516129032256
AC,2004,4,1.8283333333333334,24.909666666666666
AC,2004,5,1.4445161290322581,24.036129032258064
AC,2004,6,1.4296666666666666,23.235
AC,2004,7,1.336774193548387,23.658709677419356
AC,2004,8,1.4383870967741936,25.45806451612903
AC,2004,9,1.5176666666666667,26.726666666666667
AC,2004,10,2.0748387096774192,26.171612903225807
AC,2004,11,1.9706666666666666,25.18
AC,2004,12,1.9206451612903226,24.876774193548385
AC,2005,1,2.170645161290323,25.350322580645162
AC,2005,2,1.874642857142857,25.208928571428572
AC,2005,3,1.941290322580645,25.159354838709678
AC,2005,4,1.7976666666666667,24.863
AC,2005,5,1.7341935483870967,24.879354838709677
AC,2005,6,1.5866666666666667,24.337333333333333
AC,2005,7,1.7161290322580645,24.498709677419356
AC,2005,8,1.3451612903225807,27.899354838709677
AC,2005,9,1.4143333333333332,28.410333333333334
AC,2005,10,1.768709677419355,26.766129032258064
AC,2005,11,1.9746666666666668,26.112000000000002
AC,2005,12,1.8916129032258064,24.873548387096776
AC,2006,1,1.94,24.803870967741936
AC,2006,2,1.9139285714285714,24.992857142857144
AC,2006,3,1.895483870967742,24.643548387096775
AC,2006,4,1.812,24.328333333333333
AC,2006,5,1.8203225806451613,22.482903225806453
AC,2006,6,1.502,23.886666666666667
AC,2006,7,1.78,25.48258064516129
AC,2006,8,1.5858064516129031,27.666451612903227
AC,2006,9,1.749,28.01033333333333
AC,2006,10,1.9425806451612904,27.794838709677418
AC,2006,11,2.028,25.917
AC,2006,12,1.823225806451613,24.954516129032257
AC,2007,1,2.000967741935484,25.227096774193548
AC,2007,2,2.0221428571428572,25.1725
AC,2007,3,1.9016129032258065,24.59225806451613
AC,2007,4,1.7623333333333333,24.506
AC,2007,5,1.629032258064516,23.214193548387097
AC,2007,6,1.6473333333333333,23.746
AC,2007,7,1.6406451612903226,23.348064516129032
AC,2007,8,1.6416129032258064,25.61032258064516
AC,2007,9,1.3173333333333332,27.310333333333332
AC,2007,10,1.770967741935484,27.004193548387097
AC,2007,11,1.8526666666666667,25.045333333333332
AC,2007,12,1.7216129032258065,24.59741935483871
AC,2008,1,1.9222580645161291,24.32225806451613
AC,2008,2,2.0086206896551726,24.41448275862069
AC,2008,3,1.6993548387096773,24.101935483870967
AC,2008,4,1.689,24.30366666666667
AC,2008,5,1.6841935483870967,23.476129032258065
AC,2008,6,1.3056666666666668,22.767666666666667
